         3899838 function calls (3855501 primitive calls) in 31.884 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        2    0.126    0.063    0.126    0.063 {built-in method _ctypes.dlopen}
       40    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
       21    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        3    0.000    0.000    0.000    0.000 {built-in method _ctypes.addressof}
       25    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
      122    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        1    0.274    0.274    0.274    0.274 {built-in method mkl._py_mkl_service.get_version}
  1005937    0.122    0.000    0.122    0.000 {built-in method math.acos}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        4    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
    12127    0.126    0.000    0.126    0.000 {built-in method zlib.crc32}
       91    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
    12023    0.459    0.000    0.459    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        3    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
       14    0.000    0.000    0.001    0.000 {function CloudPickler.dump at 0x7fd9a82fd4c0}
       39    0.000    0.000    0.000    0.000 {built-in method _pickle.dumps}
       38    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        2    0.001    0.000    0.001    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
       37    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        2    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fd9780629d0}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fd978087e50}
        1    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
       52    0.003    0.000    0.022    0.000 {astropy.io.fits._utils.parse_header}
       39    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
        3    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
       60    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       99    0.008    0.000    0.008    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
       62    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       91    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
