# Jupiter zonal wind from Cassini
# Credit: Porco et al., Science 299, 1541-1547 (2003)
# Planetocentric latitudes, u (m/s), uncertainty (m/s)
-34.1	 10.8	 6.3
-34	 14.4	 8.0
-33.9	 16.8	 10.0
-33.8	 21.0	 10.8
-33.7	 23.4	 12.0
-33.6	 25.9	 13.3
-33.5	 28.9	 14.0
-33.4	 29.9	 13.4
-33.3	 31.1	 12.2
-33.2	 32.6	 11.4
-33.1	 33.3	 10.2
-33	 33.7	 9.6
-32.9	 33.6	 7.9
-32.8	 33.9	 7.0
-32.7	 33.9	 6.1
-32.6	 34.0	 5.2
-32.5	 34.1	 4.4
-32.4	 34.0	 4.1
-32.3	 34.2	 3.7
-32.2	 33.8	 3.1
-32.1	 33.8	 3.3
-32	 32.8	 3.8
-31.9	 31.7	 4.0
-31.8	 30.3	 4.8
-31.7	 29.5	 4.9
-31.6	 28.0	 5.8
-31.5	 26.8	 5.7
-31.4	 25.0	 5.8
-31.3	 23.2	 4.9
-31.2	 21.5	 4.7
-31.1	 19.1	 5.2
-31	 17.7	 4.9
-30.9	 15.3	 6.1
-30.8	 12.6	 6.1
-30.7	 11.0	 5.5
-30.6	 9.1	 4.8
-30.5	 8.3	 4.0
-30.4	 6.0	 4.1
-30.3	 3.8	 4.1
-30.2	 1.9	 4.8
-30.1	 0.0	 5.3
-30	 -2.3	 3.9
-29.9	 -2.7	 4.0
-29.8	 -4.1	 3.3
-29.7	 -5.6	 3.5
-29.6	 -7.5	 4.1
-29.5	 -8.3	 4.9
-29.4	 -9.3	 5.7
-29.3	 -11.1	 6.7
-29.2	 -13.3	 6.7
-29.1	 -13.0	 6.8
-29	 -14.2	 7.0
-28.9	 -14.4	 6.6
-28.8	 -14.9	 6.3
-28.7	 -16.1	 5.6
-28.6	 -16.0	 5.7
-28.5	 -15.8	 5.7
-28.4	 -14.3	 4.6
-28.3	 -13.3	 4.0
-28.2	 -12.1	 3.6
-28.1	 -11.3	 4.1
-28	 -9.6	 3.5
-27.9	 -8.6	 3.8
-27.8	 -6.6	 4.6
-27.7	 -6.0	 4.1
-27.6	 -5.7	 3.9
-27.5	 -4.7	 3.5
-27.4	 -2.6	 4.2
-27.3	 -1.0	 3.9
-27.2	 1.4	 4.8
-27.1	 3.1	 4.9
-27	 5.1	 4.6
-26.9	 8.9	 3.9
-26.8	 10.1	 4.7
-26.7	 13.0	 7.0
-26.6	 15.6	 9.5
-26.5	 18.8	 11.0
-26.4	 22.1	 12.5
-26.3	 24.1	 12.4
-26.2	 24.3	 11.8
-26.1	 24.5	 11.1
-26	 24.3	 10.7
-25.9	 23.3	 8.5
-25.8	 22.9	 6.3
-25.7	 23.7	 5.4
-25.6	 23.7	 4.8
-25.5	 24.0	 5.0
-25.4	 25.2	 4.7
-25.3	 26.2	 4.9
-25.2	 27.1	 5.0
-25.1	 27.4	 4.1
-25	 28.6	 3.8
-24.9	 29.3	 3.4
-24.8	 29.5	 2.8
-24.7	 30.7	 2.5
-24.6	 31.8	 2.6
-24.5	 33.5	 2.8
-24.4	 35.1	 2.3
-24.3	 36.7	 2.5
-24.2	 37.4	 9.2
-24.1	 40.6	 8.7
-24	 44.9	 2.3
-23.9	 45.2	 10.1
-23.8	 48.1	 2.3
-23.7	 47.8	 3.7
-23.6	 46.3	 5.4
-23.5	 43.1	 9.1
-23.4	 40.4	 9.2
-23.3	 35.7	 12.6
-23.2	 32.6	 14.1
-23.1	 30.7	 12.5
-23	 27.8	 13.0
-22.9	 27.5	 10.4
-22.8	 25.4	 10.5
-22.7	 24.6	 8.2
-22.6	 22.7	 10.6
-22.5	 20.0	 12.3
-22.4	 19.2	 10.3
-22.3	 17.2	 9.0
-22.2	 17.8	 2.8
-22.1	 16.0	 2.6
-22	 14.8	 2.6
-21.9	 12.8	 4.0
-21.8	 10.3	 5.8
-21.7	 9.8	 5.3
-21.6	 9.1	 4.2
-21.5	 6.9	 5.5
-21.4	 5.9	 4.7
-21.3	 4.8	 4.2
-21.2	 3.2	 3.6
-21.1	 2.1	 4.3
-21	 0.7	 3.9
-20.9	 -1.8	 4.2
-20.8	 -3.1	 3.2
-20.7	 -3.8	 2.3
-20.6	 -5.1	 2.3
-20.5	 -6.3	 2.5
-20.4	 -9.5	 9.5
-20.3	 -10.7	 8.8
-20.2	 -12.2	 8.0
-20.1	 -15.0	 8.0
-20	 -17.6	 8.7
-19.9	 -19.5	 9.4
-19.8	 -22.1	 9.4
-19.7	 -23.5	 10.5
-19.6	 -24.2	 9.6
-19.5	 -24.5	 7.8
-19.4	 -25.4	 7.7
-19.3	 -27.6	 8.6
-19.2	 -28.2	 8.4
-19.1	 -28.1	 8.2
-19	 -29.5	 8.3
-18.9	 -31.3	 8.9
-18.8	 -34.6	 9.0
-18.7	 -37.3	 7.8
-18.6	 -39.7	 7.3
-18.5	 -42.7	 5.9
-18.4	 -44.8	 5.7
-18.3	 -47.6	 6.7
-18.2	 -49.4	 7.2
-18.1	 -54.3	 13.6
-18	 -56.9	 14.5
-17.9	 -58.3	 17.8
-17.8	 -59.8	 17.2
-17.7	 -60.9	 19.0
-17.6	 -61.9	 18.2
-17.5	 -59.6	 10.6
-17.4	 -62.0	 18.4
-17.3	 -60.2	 20.0
-17.2	 -59.4	 20.3
-17.1	 -59.2	 21.5
-17	 -59.7	 18.6
-16.9	 -55.0	 12.0
-16.8	 -50.8	 23.0
-16.7	 -48.6	 23.6
-16.6	 -50.9	 12.8
-16.5	 -50.2	 11.1
-16.4	 -48.5	 9.6
-16.3	 -46.0	 9.2
-16.2	 -43.4	 8.9
-16.1	 -40.8	 8.4
-16	 -39.9	 8.0
-15.9	 -38.1	 7.3
-15.8	 -35.9	 7.7
-15.7	 -34.0	 7.4
-15.6	 -32.5	 7.7
-15.5	 -30.8	 6.9
-15.4	 -29.4	 5.6
-15.3	 -28.7	 5.7
-15.2	 -26.2	 7.8
-15.1	 -29.8	 30.6
-15	 -28.8	 36.0
-14.9	 -24.7	 36.0
-14.8	 -16.6	 3.6
-14.7	 -14.4	 3.8
-14.6	 -5.9	 37.7
-14.5	 -5.0	 39.1
-14.4	 -13.3	 43.2
-14.3	 0.0	 24.1
-14.2	 1.0	 23.8
-14.1	 -1.6	 16.1
-14	 -0.9	 15.7
-13.9	 4.8	 51.3
-13.8	 1.9	 30.9
-13.7	 -9.3	 29.3
-13.6	 -7.7	 30.8
-13.5	 -4.0	 27.1
-13.4	 -1.8	 27.4
-13.3	 5.5	 4.6
-13.2	 7.0	 5.2
-13.1	 7.1	 5.3
-13	 9.6	 4.3
-12.9	 10.2	 4.6
-12.8	 11.2	 4.6
-12.7	 11.8	 6.0
-12.6	 12.4	 6.3
-12.5	 13.1	 7.5
-12.4	 14.0	 7.5
-12.3	 14.9	 8.0
-12.2	 15.3	 8.4
-12.1	 15.5	 7.9
-12	 15.5	 8.3
-11.9	 14.4	 10.4
-11.8	 16.8	 9.9
-11.7	 17.8	 10.1
-11.6	 18.6	 10.7
-11.5	 17.1	 11.6
-11.4	 17.3	 11.5
-11.3	 18.8	 10.6
-11.2	 21.0	 8.4
-11.1	 21.1	 7.4
-11	 21.6	 7.3
-10.9	 22.7	 7.2
-10.8	 24.5	 7.0
-10.7	 26.1	 5.9
-10.6	 27.1	 5.8
-10.5	 28.6	 5.3
-10.4	 30.2	 4.8
-10.3	 31.6	 4.8
-10.2	 33.4	 4.7
-10.1	 35.7	 4.5
-10	 37.4	 5.1
-9.9	 40.1	 6.6
-9.8	 44.0	 10.2
-9.7	 47.9	 11.9
